Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein Y590_25730 [Methylobacterium sp. AMS5],Methylobacterium sp. AMS5,162,162,95%,1e-47,51.57,160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AMB48373.1?report=genbank&log$=prottop&blast_rank=1&RID=SJKFDJXZ016"",""AMB48373.1"")"
hypothetical protein [Methylobacterium sp. AMS5],Methylobacterium sp. AMS5,159,159,91%,2e-46,52.63,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144440078.1?report=genbank&log$=prottop&blast_rank=2&RID=SJKFDJXZ016"",""WP_144440078.1"")"
AP2 domain-containing protein [Cupriavidus gilardii],Cupriavidus gilardii,155,155,91%,2e-44,50.00,182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_260730371.1?report=genbank&log$=prottop&blast_rank=3&RID=SJKFDJXZ016"",""WP_260730371.1"")"
TPA: hypothetical protein [Gemmatimonadales bacterium],Gemmatimonadales bacterium,155,155,94%,1e-43,52.17,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY9441641.1?report=genbank&log$=prottop&blast_rank=4&RID=SJKFDJXZ016"",""HEY9441641.1"")"
hypothetical protein LH20_04655 [Sphingopyxis sp. 113P3],Sphingopyxis sp. 113P3,152,152,91%,2e-43,53.16,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALC11238.1?report=genbank&log$=prottop&blast_rank=5&RID=SJKFDJXZ016"",""ALC11238.1"")"
hypothetical protein [Cupriavidus sp.],Cupriavidus sp.,152,152,94%,2e-43,47.85,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_291453524.1?report=genbank&log$=prottop&blast_rank=6&RID=SJKFDJXZ016"",""WP_291453524.1"")"
hypothetical protein [Streptomyces sp. NPDC004250],Streptomyces sp. NPDC004250,153,153,95%,3e-43,50.97,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_388728151.1?report=genbank&log$=prottop&blast_rank=7&RID=SJKFDJXZ016"",""WP_388728151.1"")"
TPA: homing endonuclease [Caudoviricetes sp.],Caudoviricetes sp.,153,153,93%,3e-43,49.03,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAK78904.1?report=genbank&log$=prottop&blast_rank=8&RID=SJKFDJXZ016"",""DAK78904.1"")"
hypothetical protein [Caulobacter segnis],Caulobacter segnis,151,151,93%,4e-43,50.62,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_304273107.1?report=genbank&log$=prottop&blast_rank=9&RID=SJKFDJXZ016"",""WP_304273107.1"")"
hypothetical protein [Stutzerimonas stutzeri],Stutzerimonas stutzeri,153,153,94%,5e-43,50.31,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_043289820.1?report=genbank&log$=prottop&blast_rank=10&RID=SJKFDJXZ016"",""WP_043289820.1"")"
AP2 domain-containing protein [Candidatus Omnitrophota bacterium],Candidatus Omnitrophota bacterium,152,152,96%,6e-43,48.08,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFA5391930.1?report=genbank&log$=prottop&blast_rank=11&RID=SJKFDJXZ016"",""MFA5391930.1"")"
hypothetical protein [Delftia acidovorans],Delftia acidovorans,151,151,92%,7e-43,49.68,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012205065.1?report=genbank&log$=prottop&blast_rank=12&RID=SJKFDJXZ016"",""WP_012205065.1"")"
hypothetical protein [Synechococcus phage Yong-M4-211],Synechococcus phage Yong-M4-211,151,151,93%,9e-43,48.12,183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UPT53143.1?report=genbank&log$=prottop&blast_rank=13&RID=SJKFDJXZ016"",""UPT53143.1"")"
AP2 domain-containing protein [Delftia acidovorans],Delftia acidovorans,150,150,91%,9e-43,51.30,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_310637285.1?report=genbank&log$=prottop&blast_rank=14&RID=SJKFDJXZ016"",""WP_310637285.1"")"
hypothetical protein [Bradyrhizobium sp. 2],Bradyrhizobium sp. 2,151,151,89%,1e-42,50.66,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_247457312.1?report=genbank&log$=prottop&blast_rank=15&RID=SJKFDJXZ016"",""WP_247457312.1"")"
hypothetical protein [Ralstonia mannitolilytica],Ralstonia mannitolilytica,152,152,89%,2e-42,50.33,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_303678263.1?report=genbank&log$=prottop&blast_rank=16&RID=SJKFDJXZ016"",""WP_303678263.1"")"
hypothetical protein [Streptomyces sp. A13(2022)],Streptomyces sp. A13(2022),150,150,89%,2e-42,55.33,199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_263239108.1?report=genbank&log$=prottop&blast_rank=17&RID=SJKFDJXZ016"",""WP_263239108.1"")"
hypothetical protein [Methylobacterium terricola],Methylobacterium terricola,150,150,89%,2e-42,49.69,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_139034455.1?report=genbank&log$=prottop&blast_rank=18&RID=SJKFDJXZ016"",""WP_139034455.1"")"
hypothetical protein [Cyanobacteria bacterium J06554_11],Cyanobacteria bacterium J06554_11,151,151,89%,2e-42,50.00,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEL7495495.1?report=genbank&log$=prottop&blast_rank=19&RID=SJKFDJXZ016"",""MEL7495495.1"")"
hypothetical protein [Candidatus Paceibacterota bacterium],Candidatus Paceibacterota bacterium,149,149,91%,3e-42,51.68,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFA5132929.1?report=genbank&log$=prottop&blast_rank=20&RID=SJKFDJXZ016"",""MFA5132929.1"")"
AP2 domain-containing protein [Delftia acidovorans],Delftia acidovorans,149,149,93%,3e-42,49.68,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL8355560.1?report=genbank&log$=prottop&blast_rank=21&RID=SJKFDJXZ016"",""MBL8355560.1"")"
hypothetical protein [Acidovorax sp. NB1],Acidovorax sp. NB1,151,151,94%,3e-42,44.91,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137747958.1?report=genbank&log$=prottop&blast_rank=22&RID=SJKFDJXZ016"",""WP_137747958.1"")"
TPA: hypothetical protein [Mesorhizobium sp.],Mesorhizobium sp.,152,152,90%,3e-42,51.95,268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEV7253829.1?report=genbank&log$=prottop&blast_rank=23&RID=SJKFDJXZ016"",""HEV7253829.1"")"
hypothetical protein [Brevundimonas viscosa],Brevundimonas viscosa,149,149,94%,3e-42,50.62,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143105769.1?report=genbank&log$=prottop&blast_rank=24&RID=SJKFDJXZ016"",""WP_143105769.1"")"
hypothetical protein [Streptomyces sp. NPDC052043],Streptomyces sp. NPDC052043,152,152,91%,3e-42,52.56,276,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_400026100.1?report=genbank&log$=prottop&blast_rank=25&RID=SJKFDJXZ016"",""WP_400026100.1"")"
hypothetical protein [Streptomyces sp. NPDC056323],Streptomyces sp. NPDC056323,150,150,92%,3e-42,49.68,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_376418875.1?report=genbank&log$=prottop&blast_rank=26&RID=SJKFDJXZ016"",""WP_376418875.1"")"
hypothetical protein [Enterobacter cloacae complex],Enterobacter cloacae complex,149,149,92%,7e-42,50.33,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045347727.1?report=genbank&log$=prottop&blast_rank=27&RID=SJKFDJXZ016"",""WP_045347727.1"")"
hypothetical protein SAMN04244547_05117 [Azotobacter vinelandii],Azotobacter vinelandii,149,149,92%,7e-42,48.70,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SFY32662.1?report=genbank&log$=prottop&blast_rank=28&RID=SJKFDJXZ016"",""SFY32662.1"")"
TPA: hypothetical protein [Gallionellaceae bacterium],Gallionellaceae bacterium,149,149,94%,7e-42,50.00,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY6095344.1?report=genbank&log$=prottop&blast_rank=29&RID=SJKFDJXZ016"",""HEY6095344.1"")"
hypothetical protein [Pseudomonas sp. LJDD11],Pseudomonas sp. LJDD11,148,148,94%,8e-42,50.63,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_257105891.1?report=genbank&log$=prottop&blast_rank=30&RID=SJKFDJXZ016"",""WP_257105891.1"")"
hypothetical protein [Burkholderia mayonis],Burkholderia mayonis,150,150,92%,9e-42,47.85,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159086262.1?report=genbank&log$=prottop&blast_rank=31&RID=SJKFDJXZ016"",""WP_159086262.1"")"
hypothetical protein [Duganella guangzhouensis],Duganella guangzhouensis,149,149,91%,9e-42,48.34,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_154372680.1?report=genbank&log$=prottop&blast_rank=32&RID=SJKFDJXZ016"",""WP_154372680.1"")"
hypothetical protein [Enterobacter cloacae complex],Enterobacter cloacae complex,149,149,93%,1e-41,50.00,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191185354.1?report=genbank&log$=prottop&blast_rank=33&RID=SJKFDJXZ016"",""WP_191185354.1"")"
hypothetical protein [Enterobacter cloacae complex],Enterobacter cloacae complex,149,149,92%,1e-41,50.33,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_249494637.1?report=genbank&log$=prottop&blast_rank=34&RID=SJKFDJXZ016"",""WP_249494637.1"")"
hypothetical protein [Aquamicrobium defluvii],Aquamicrobium defluvii,147,147,90%,2e-41,50.98,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133675366.1?report=genbank&log$=prottop&blast_rank=35&RID=SJKFDJXZ016"",""WP_133675366.1"")"
TPA: hypothetical protein [Enterobacter hormaechei],Enterobacter hormaechei,149,149,92%,2e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFG2911986.1?report=genbank&log$=prottop&blast_rank=36&RID=SJKFDJXZ016"",""HFG2911986.1"")"
hypothetical protein [Enterobacter sp. A103],Enterobacter sp. A103,148,148,92%,2e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_322435841.1?report=genbank&log$=prottop&blast_rank=37&RID=SJKFDJXZ016"",""WP_322435841.1"")"
hypothetical protein [Leclercia adecarboxylata],Leclercia adecarboxylata,148,148,92%,2e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_306737828.1?report=genbank&log$=prottop&blast_rank=38&RID=SJKFDJXZ016"",""WP_306737828.1"")"
